timestamp,bvp,eda,temp,PPG GREEN
1588332962.59375,3.48,0.171626,32.0,2176291.0
1588332962.609375,-4.66,0.211331,32.0,2176178.0
1588332962.625,-15.59,0.188276,32.0,2169771.0
1588332962.640625,-29.03,0.176749,32.0,2173139.0
1588332962.65625,-43.52,0.171626,32.0,2164170.0
1588332962.671875,-56.09,0.170345,32.0,2162148.0
1588332962.6875,-62.6,0.174188,32.0,2160860.0
1588332962.703125,-58.91,0.175468,32.0,2159885.0
1588332962.71875,-42.65,0.172907,32.0,2166751.0
1588332962.734375,-14.66,0.169064,32.0,2158192.0
1588332962.75,20.69,0.170345,31.99,2159126.0
1588332962.765625,56.79,0.167784,31.99,2157122.0
1588332962.78125,87.22,0.171626,31.99,2157474.0
1588332962.796875,108.04,0.171626,31.99,2157306.0
1588332962.8125,118.85,0.171626,31.99,2157104.0
1588332962.828125,122.13,0.167784,31.99,2157959.0
1588332962.84375,121.41,0.167784,31.99,2157442.0
1588332962.859375,119.41,0.167784,31.99,2158425.0
1588332962.875,117.21,0.170345,32.0,2159149.0
1588332962.890625,114.59,0.171626,32.0,2160050.0
1588332962.90625,111.06,0.170345,32.0,2160617.0
1588332962.921875,106.7,0.166503,32.0,2161354.0
1588332962.9375,102.26,0.166503,32.0,2159386.0
1588332962.953125,98.63,0.166503,32.0,2155413.0
1588332962.96875,96.2,0.169064,32.0,2151622.0
1588332962.984375,94.54,0.170345,32.0,2148239.0
1588332963.0,92.67,0.169064,32.03,2145478.0
1588332963.015625,89.59,0.166503,32.03,2143173.0
1588332963.03125,84.84,0.167784,32.03,2140543.0
1588332963.046875,78.69,0.169064,32.03,2141667.0
1588332963.0625,72.09,0.169064,32.0,2138809.0
1588332963.078125,66.11,0.169064,32.0,2139661.0
1588332963.09375,61.49,0.166503,32.0,2137701.0
1588332963.109375,58.32,0.169064,32.0,2138079.0
1588332963.125,55.93,0.169064,31.99,2137760.0
1588332963.140625,53.24,0.170345,31.99,2137526.0
1588332963.15625,49.12,0.169064,31.99,2138486.0
1588332963.171875,43.0,0.169064,31.99,2138170.0
1588332963.1875,35.06,0.166503,31.99,2139204.0
1588332963.203125,26.14,0.165222,31.99,2139931.0
1588332963.21875,17.42,0.169064,31.99,2141028.0
1588332963.234375,9.91,0.170345,31.99,2143411.0
1588332963.25,3.96,0.170345,31.97,2145296.0
1588332963.265625,-0.73,0.166503,31.97,2145052.0
1588332963.28125,-4.97,0.166503,31.97,2145259.0
1588332963.296875,-9.6,0.166503,31.97,2146371.0
1588332963.3125,-15.08,0.170345,31.97,2148200.0
1588332963.328125,-21.33,0.170345,31.97,2149752.0
1588332963.34375,-27.85,0.167784,31.97,2152092.0
1588332963.359375,-34.0,0.167784,31.97,2154355.0
1588332963.375,-39.32,0.170345,31.95,2155955.0
1588332963.390625,-43.71,0.169064,31.95,2157580.0
1588332963.40625,-47.35,0.169064,31.95,2159626.0
1588332963.421875,-50.53,0.167784,31.95,2166750.0
1588332963.4375,-53.51,0.166503,31.95,2163924.0
1588332963.453125,-56.35,0.166503,31.95,2161791.0
1588332963.46875,-58.88,0.167784,31.95,2171163.0
1588332963.484375,-60.83,0.169064,31.95,2174982.0
1588332963.5,-61.83,0.170345,31.95,2178749.0
1588332963.515625,-61.49,0.166503,31.95,2183932.0
1588332963.53125,-59.42,0.166503,31.95,2186464.0
1588332963.546875,-55.36,0.167784,31.95,2189964.0
1588332963.5625,-49.24,0.170345,31.97,2188297.0
1588332963.578125,-41.31,0.172907,31.97,2190185.0
1588332963.59375,-32.09,0.167784,31.97,2181315.0
1588332963.609375,-22.22,0.166503,31.97,2188874.0
1588332963.625,-12.22,0.165222,31.95,2179286.0
1588332963.640625,-2.21,0.167784,31.95,2184010.0
1588332963.65625,8.16,0.169064,31.95,2172136.0
1588332963.671875,19.55,0.169064,31.95,2169283.0
1588332963.6875,32.6,0.166503,31.93,2167265.0
1588332963.703125,47.52,0.165222,31.93,2175363.0
1588332963.71875,63.86,0.163941,31.93,2165337.0
1588332963.734375,80.61,0.169064,31.93,2163518.0
1588332963.75,96.6,0.167784,31.95,2165982.0
1588332963.765625,110.93,0.167784,31.95,2164373.0
1588332963.78125,123.31,0.165222,31.95,2162870.0
1588332963.796875,134.05,0.165222,31.95,2162779.0
1588332963.8125,143.8,0.166503,31.93,2163161.0
1588332963.828125,153.13,0.167784,31.93,2162871.0
1588332963.84375,162.22,0.166503,31.93,2163695.0
1588332963.859375,170.75,0.163941,31.93,2164180.0
1588332963.875,178.04,0.165222,31.93,2164937.0
1588332963.890625,183.11,0.167784,31.93,2163543.0
1588332963.90625,184.91,0.169064,31.93,2166621.0
1588332963.921875,182.29,0.169064,31.93,2165573.0
1588332963.9375,174.17,0.165222,31.93,2168427.0
1588332963.953125,159.71,0.163941,31.93,2162491.0
1588332963.96875,138.59,0.163941,31.93,2167463.0
1588332963.984375,111.28,0.169064,31.93,2166603.0
1588332964.0,78.98,0.167784,31.93,2154886.0
1588332964.015625,43.45,0.167784,31.93,2151914.0
1588332964.03125,6.56,0.165222,31.93,2158223.0
1588332964.046875,-30.03,0.166503,31.93,2149606.0
1588332964.0625,-64.99,0.166503,31.95,2148285.0
1588332964.078125,-97.16,0.166503,31.95,2146800.0
1588332964.09375,-125.15,0.169064,31.95,2147818.0
1588332964.109375,-147.18,0.167784,31.95,2145298.0
1588332964.125,-161.25,0.165222,31.93,2145817.0
1588332964.140625,-165.92,0.165222,31.93,2145521.0
1588332964.15625,-161.07,0.169064,31.93,2146382.0
1588332964.171875,-148.46,0.170345,31.93,2146749.0
1588332964.1875,-131.51,0.166503,31.93,2147693.0
1588332964.203125,-114.26,0.165222,31.93,2148630.0
1588332964.21875,-100.07,0.165222,31.93,2150110.0
1588332964.234375,-90.63,0.166503,31.93,2151786.0
1588332964.25,-85.82,0.169064,31.93,2153464.0
1588332964.265625,-84.3,0.169064,31.93,2155535.0
1588332964.28125,-84.59,0.166503,31.93,2157634.0
1588332964.296875,-85.79,0.167784,31.93,2158859.0
1588332964.3125,-87.84,0.166503,31.91,2157935.0
1588332964.328125,-91.16,0.170345,31.91,2154671.0
1588332964.34375,-96.08,0.171626,31.91,2151753.0
1588332964.359375,-102.3,0.167784,31.91,2149525.0
1588332964.375,-108.79,0.165222,31.93,2147656.0
1588332964.390625,-113.87,0.165222,31.93,2146439.0
1588332964.40625,-115.57,0.167784,31.93,2146481.0
1588332964.421875,-112.16,0.170345,31.93,2145944.0
