timestamp,bvp,eda,temp,PPG GREEN
1623756683.125,4.0,0.212599,34.11,1805437.0
1623756683.140625,6.28,0.299687,34.11,1805120.0
1623756683.15625,9.79,0.248459,34.11,1804985.0
1623756683.171875,13.95,0.226686,34.11,1804862.0
1623756683.1875,18.19,0.221564,34.13,1804410.0
1623756683.203125,22.11,0.219002,34.13,1803946.0
1623756683.21875,25.47,0.21516,34.13,1803169.0
1623756683.234375,28.06,0.216441,34.13,1802334.0
1623756683.25,29.76,0.220283,34.11,1801762.0
1623756683.265625,30.43,0.221564,34.11,1801543.0
1623756683.28125,30.0,0.220283,34.11,1801254.0
1623756683.296875,28.41,0.225406,34.11,1800935.0
1623756683.3125,25.67,0.229248,34.09,1800726.0
1623756683.328125,21.88,0.230529,34.09,1800530.0
1623756683.34375,17.19,0.231809,34.09,1800169.0
1623756683.359375,11.85,0.235651,34.09,1799905.0
1623756683.375,6.2,0.235651,34.11,1800139.0
1623756683.390625,0.57,0.230529,34.11,1799977.0
1623756683.40625,-4.74,0.229248,34.11,1799958.0
1623756683.421875,-9.57,0.225406,34.11,1799834.0
1623756683.4375,-13.88,0.230529,34.09,1799420.0
1623756683.453125,-17.81,0.236932,34.09,1798928.0
1623756683.46875,-21.52,0.23309,34.09,1798369.0
1623756683.484375,-25.13,0.231809,34.09,1797712.0
1623756683.5,-28.64,0.227967,34.09,1797382.0
1623756683.515625,-31.96,0.227967,34.09,1797151.0
1623756683.53125,-34.91,0.226686,34.09,1797060.0
1623756683.546875,-37.38,0.227967,34.09,1796860.0
1623756683.5625,-39.21,0.229248,34.09,1796492.0
1623756683.578125,-40.47,0.227967,34.09,1796583.0
1623756683.59375,-41.46,0.225406,34.09,1796223.0
1623756683.609375,-42.69,0.224125,34.09,1795955.0
1623756683.625,-44.33,0.226686,34.09,1795938.0
1623756683.640625,-46.39,0.225406,34.09,1795902.0
1623756683.65625,-48.77,0.227967,34.09,1795712.0
1623756683.671875,-51.3,0.226686,34.09,1795857.0
1623756683.6875,-53.75,0.224125,34.09,1795501.0
1623756683.703125,-55.68,0.222844,34.09,1795106.0
1623756683.71875,-56.72,0.226686,34.09,1794514.0
1623756683.734375,-56.68,0.226686,34.09,1793672.0
1623756683.75,-55.68,0.225406,34.13,1793308.0
1623756683.765625,-53.79,0.225406,34.13,1792852.0
1623756683.78125,-51.24,0.222844,34.13,1792716.0
1623756683.796875,-48.47,0.222844,34.13,1792449.0
1623756683.8125,-46.1,0.224125,34.13,1792213.0
1623756683.828125,-44.77,0.225406,34.13,1791765.0
1623756683.84375,-44.49,0.224125,34.13,1791644.0
1623756683.859375,-45.32,0.224125,34.13,1791447.0
1623756683.875,-47.53,0.221564,34.11,1791342.0
1623756683.890625,-51.61,0.220283,34.11,1790921.0
1623756683.90625,-57.43,0.220283,34.11,1790943.0
1623756683.921875,-64.65,0.224125,34.11,1791199.0
1623756683.9375,-72.89,0.222844,34.15,1791129.0
1623756683.953125,-81.76,0.224125,34.15,1790816.0
1623756683.96875,-90.84,0.222844,34.15,1790519.0
1623756683.984375,-98.49,0.220283,34.15,1789854.0
1623756684.0,-103.99,0.220283,34.15,1789412.0
1623756684.015625,-107.89,0.221564,34.15,1788525.0
1623756684.03125,-112.02,0.224125,34.15,1788007.0
1623756684.046875,-116.55,0.224125,34.15,1788128.0
1623756684.0625,-120.78,0.221564,34.15,1789400.0
1623756684.078125,-123.64,0.220283,34.15,1791491.0
1623756684.09375,-124.17,0.220283,34.15,1794001.0
1623756684.109375,-121.66,0.222844,34.15,1795935.0
1623756684.125,-113.29,0.224125,34.16,1796312.0
1623756684.140625,-98.28,0.222844,34.16,1798357.0
1623756684.15625,-78.26,0.224125,34.16,1801448.0
1623756684.171875,-57.08,0.221564,34.16,1803919.0
1623756684.1875,-34.84,0.220283,34.15,1807091.0
1623756684.203125,-9.95,0.221564,34.15,1809575.0
1623756684.21875,19.35,0.224125,34.15,1812079.0
1623756684.234375,53.84,0.222844,34.15,1815783.0
1623756684.25,93.31,0.222844,34.16,1818960.0
1623756684.265625,140.65,0.220283,34.16,1819406.0
1623756684.28125,195.73,0.220283,34.16,1819362.0
1623756684.296875,254.98,0.222844,34.16,1820597.0
1623756684.3125,311.51,0.220283,34.15,1822602.0
1623756684.328125,364.16,0.222844,34.15,1824653.0
1623756684.34375,414.02,0.222844,34.15,1826332.0
1623756684.359375,461.99,0.220283,34.15,1831438.0
1623756684.375,507.5,0.220283,34.16,1833081.0
1623756684.390625,548.83,0.221564,34.16,1834038.0
1623756684.40625,588.5,0.224125,34.16,1836428.0
1623756684.421875,625.06,0.224125,34.16,1839666.0
1623756684.4375,652.29,0.222844,34.15,1842470.0
1623756684.453125,659.18,0.220283,34.15,1842284.0
1623756684.46875,642.29,0.220283,34.15,1841108.0
1623756684.484375,602.09,0.221564,34.15,1840835.0
1623756684.5,540.93,0.224125,34.15,1840778.0
