timestamp,bvp,eda,temp,PPG GREEN
1596631745.203125,-42.7,0.89031,32.75,2076413.0
1596631745.21875,-42.62,0.93129,32.75,2076871.0
1596631745.234375,-40.8,0.956903,32.75,2077032.0
1596631745.25,-37.12,0.915922,32.75,2077582.0
1596631745.265625,-31.81,0.909519,32.73,2078086.0
1596631745.28125,-25.42,0.9108,32.73,2079211.0
1596631745.296875,-18.87,0.908238,32.73,2079622.0
1596631745.3125,-13.14,0.909519,32.73,2080288.0
1596631745.328125,-8.95,0.909519,32.73,2080889.0
1596631745.34375,-6.51,0.904396,32.73,2081906.0
1596631745.359375,-5.56,0.906958,32.73,2082832.0
1596631745.375,-5.51,0.908238,32.73,2083850.0
1596631745.390625,-5.68,0.908238,32.68,2083869.0
1596631745.40625,-5.53,0.909519,32.68,2082687.0
1596631745.421875,-4.81,0.908238,32.68,2080287.0
1596631745.4375,-3.8,0.909519,32.68,2079049.0
1596631745.453125,-2.88,0.908238,32.71,2077602.0
1596631745.46875,-2.34,0.903116,32.71,2076128.0
1596631745.484375,-2.07,0.899274,32.71,2075214.0
1596631745.5,-1.68,0.896713,32.71,2074522.0
1596631745.515625,-0.66,0.906958,32.71,2073390.0
1596631745.53125,1.39,0.91208,32.71,2072368.0
1596631745.546875,4.54,0.913361,32.71,2071255.0
1596631745.5625,8.49,0.906958,32.71,2070643.0
1596631745.578125,12.4,0.901835,32.68,2070469.0
1596631745.59375,15.48,0.903116,32.68,2070202.0
1596631745.609375,17.31,0.9108,32.68,2070154.0
1596631745.625,18.04,0.917203,32.68,2070249.0
1596631745.640625,18.18,0.917203,32.68,2070000.0
1596631745.65625,18.23,0.89159,32.68,2070480.0
1596631745.671875,18.46,0.896713,32.68,2070169.0
1596631745.6875,18.89,0.900555,32.68,2070896.0
1596631745.703125,19.5,0.899274,32.68,2072538.0
1596631745.71875,19.49,0.906958,32.68,2073884.0
1596631745.734375,18.39,0.909519,32.68,2071614.0
1596631745.75,16.48,0.918483,32.68,2072957.0
1596631745.765625,14.7,0.930009,32.68,2074604.0
1596631745.78125,14.0,0.933851,32.68,2075416.0
1596631745.796875,14.74,0.942816,32.68,2071320.0
1596631745.8125,16.74,0.956903,32.68,2075739.0
1596631745.828125,19.52,0.985077,32.68,2073918.0
1596631745.84375,22.85,0.994041,32.68,2071873.0
1596631745.859375,24.94,1.015812,32.68,2069531.0
1596631745.875,24.54,1.018373,32.68,2076164.0
1596631745.890625,21.61,1.019654,32.68,2068330.0
1596631745.90625,17.45,1.017093,32.68,2067372.0
1596631745.921875,13.71,1.019654,32.68,2066273.0
1596631745.9375,11.41,1.020934,32.68,2065109.0
1596631745.953125,10.89,1.017093,32.68,2064184.0
1596631745.96875,11.99,1.014531,32.68,2063143.0
1596631745.984375,14.62,1.010689,32.68,2062261.0
1596631746.0,15.64,1.010689,32.68,2061723.0
1596631746.015625,12.29,1.009409,32.68,2060887.0
1596631746.03125,3.42,1.014531,32.68,2060925.0
1596631746.046875,-9.77,1.015812,32.68,2061098.0
1596631746.0625,-25.0,1.014531,32.68,2060588.0
1596631746.078125,-40.23,1.015812,32.68,2061131.0
1596631746.09375,-54.06,1.015812,32.68,2061266.0
1596631746.109375,-66.06,1.015812,32.68,2061265.0
1596631746.125,-75.99,1.014531,32.68,2061281.0
1596631746.140625,-88.21,1.018373,32.71,2061862.0
1596631746.15625,-106.98,1.015812,32.71,2062369.0
1596631746.171875,-134.82,1.020934,32.71,2062825.0
1596631746.1875,-170.66,1.019654,32.71,2063741.0
1596631746.203125,-211.16,1.019654,32.68,2064582.0
1596631746.21875,-252.34,1.018373,32.68,2065203.0
1596631746.234375,-290.44,1.015812,32.68,2065722.0
1596631746.25,-322.88,1.014531,32.68,2066800.0
1596631746.265625,-325.91,1.014531,32.68,2064043.0
1596631746.28125,-285.72,1.010689,32.68,2066140.0
1596631746.296875,-206.38,1.006848,32.68,2061176.0
1596631746.3125,-110.19,1.005567,32.68,2058907.0
1596631746.328125,-21.22,1.009409,32.66,2056822.0
1596631746.34375,47.22,1.009409,32.66,2054694.0
