timestamp,bvp,eda,temp,PPG GREEN
1638177956.59375,-87.48,2.09857,35.29,1806547.0
1638177956.609375,-93.01,2.165171,35.29,1802416.0
1638177956.625,-99.55,2.154925,35.29,1797009.0
1638177956.640625,-107.8,2.161329,35.29,1792982.0
1638177956.65625,-117.94,2.152363,35.29,1790485.0
1638177956.671875,-129.31,2.143398,35.29,1789135.0
1638177956.6875,-140.23,2.13059,35.29,1788726.0
1638177956.703125,-148.18,2.160048,35.29,1788655.0
1638177956.71875,-150.46,2.16389,35.29,1788349.0
1638177956.734375,-144.96,2.209999,35.29,1788229.0
1638177956.75,-130.91,2.208718,35.29,1788202.0
1638177956.765625,-109.26,2.231772,35.29,1788905.0
1638177956.78125,-82.47,2.243299,35.29,1790205.0
1638177956.796875,-53.76,2.248423,35.29,1791307.0
1638177956.8125,-26.23,2.24458,35.25,1792977.0
1638177956.828125,-2.16,2.247142,35.25,1794646.0
1638177956.84375,17.25,2.240738,35.25,1796718.0
1638177956.859375,31.8,2.243299,35.25,1798813.0
1638177956.875,41.95,2.247142,35.25,1800543.0
1638177956.890625,48.39,2.253546,35.25,1802617.0
1638177956.90625,51.9,2.257388,35.25,1805030.0
1638177956.921875,53.15,2.265073,35.25,1807259.0
1638177956.9375,52.74,2.267635,35.25,1809540.0
1638177956.953125,51.16,2.266354,35.25,1812064.0
1638177956.96875,48.85,2.25995,35.25,1814403.0
1638177956.984375,46.17,2.256107,35.25,1814155.0
1638177957.0,43.43,2.254827,35.25,1809823.0
1638177957.015625,40.85,2.253546,35.25,1805844.0
1638177957.03125,38.58,2.248423,35.25,1803161.0
1638177957.046875,36.61,2.245861,35.25,1801592.0
1638177957.0625,34.84,2.240738,35.25,1800651.0
1638177957.078125,33.09,2.233053,35.25,1800854.0
1638177957.09375,31.26,2.234334,35.25,1801612.0
1638177957.109375,29.31,2.242019,35.25,1802000.0
1638177957.125,27.24,2.247142,35.23,1802311.0
1638177957.140625,24.97,2.250984,35.23,1802123.0
