timestamp,bvp,eda,temp,PPG GREEN
1677486192.34375,-2.66,2.314745,34.45,1694148.0
1677486192.359375,1.86,2.097037,34.45,1694195.0
1677486192.375,5.08,2.3045,34.45,1694322.0
1677486192.390625,5.92,2.322429,34.43,1694616.0
1677486192.40625,4.54,2.333955,34.43,1694615.0
1677486192.421875,1.86,2.3442,34.43,1694082.0
1677486192.4375,-1.25,2.346761,34.43,1693856.0
1677486192.453125,-4.63,2.355726,34.45,1693807.0
1677486192.46875,-8.79,2.355726,34.45,1693831.0
1677486192.484375,-14.55,2.357006,34.45,1694135.0
1677486192.5,-22.39,2.351884,34.45,1694767.0
1677486192.515625,-32.05,2.348042,34.43,1695156.0
1677486192.53125,-42.53,2.339077,34.43,1695242.0
1677486192.546875,-52.51,2.339077,34.43,1692608.0
1677486192.5625,-60.86,2.332674,34.43,1692185.0
1677486192.578125,-66.95,2.331393,34.41,1695114.0
1677486192.59375,-70.74,2.330113,34.41,1697056.0
1677486192.609375,-72.62,2.327552,34.41,1698828.0
1677486192.625,-73.08,2.328832,34.41,1700495.0
1677486192.640625,-72.55,2.328832,34.43,1701970.0
1677486192.65625,-71.25,2.327552,34.43,1703322.0
1677486192.671875,-69.31,2.319868,34.43,1705025.0
1677486192.6875,-66.87,2.318587,34.43,1705911.0
1677486192.703125,-64.19,2.310903,34.43,1707357.0
1677486192.71875,-61.57,2.309623,34.43,1708918.0
1677486192.734375,-59.34,2.310903,34.43,1709921.0
1677486192.75,-57.68,2.305781,34.43,1711592.0
1677486192.765625,-56.61,2.307061,34.43,1713116.0
1677486192.78125,-56.06,2.30322,34.43,1714512.0
1677486192.796875,-55.91,2.305781,34.43,1715539.0
1677486192.8125,-56.01,2.301939,34.43,1716092.0
1677486192.828125,-56.25,2.30322,34.43,1716507.0
1677486192.84375,-56.49,2.310903,34.43,1716418.0
1677486192.859375,-56.6,2.328832,34.43,1716072.0
1677486192.875,-56.56,2.34548,34.43,1715482.0
1677486192.890625,-56.39,2.357006,34.41,1715096.0
1677486192.90625,-56.3,2.36469,34.41,1714752.0
1677486192.921875,-56.41,2.360848,34.41,1714796.0
1677486192.9375,-56.72,2.36469,34.41,1716144.0
1677486192.953125,-57.01,2.353164,34.39,1718485.0
1677486192.96875,-56.85,2.3442,34.39,1720612.0
1677486192.984375,-55.82,2.341639,34.39,1722104.0
1677486193.0,-53.72,2.336516,34.39,1722833.0
1677486193.015625,-50.68,2.328832,34.41,1722903.0
1677486193.03125,-47.23,2.326271,34.41,1722564.0
1677486193.046875,-44.1,2.319868,34.41,1722117.0
1677486193.0625,-41.97,2.316026,34.41,1721893.0
1677486193.078125,-41.2,2.307061,34.39,1721564.0
1677486193.09375,-41.73,2.30322,34.39,1721531.0
1677486193.109375,-43.08,2.309623,34.39,1721137.0
1677486193.125,-44.55,2.313465,34.39,1721005.0
1677486193.140625,-45.59,2.314745,34.39,1720842.0
1677486193.15625,-45.94,2.318587,34.39,1720505.0
1677486193.171875,-45.78,2.318587,34.39,1720455.0
1677486193.1875,-45.58,2.316026,34.39,1720297.0
1677486193.203125,-45.82,2.314745,34.39,1720213.0
1677486193.21875,-46.61,2.305781,34.39,1720075.0
1677486193.234375,-47.49,2.301939,34.39,1719974.0
1677486193.25,-47.39,2.295536,34.39,1720156.0
1677486193.265625,-45.01,2.296816,34.39,1719863.0
