timestamp,bvp,eda,temp,PPG GREEN
1780135453.625,88.0,0.700944,35.13,2171585.0
1780135453.640625,84.61,0.709911,35.13,2172522.0
1780135453.65625,80.6,0.706068,35.11,2173607.0
1780135453.671875,75.75,0.703506,35.11,2175662.0
1780135453.6875,69.85,0.706068,35.11,2177660.0
1780135453.703125,63.01,0.707349,35.11,2180025.0
1780135453.71875,55.76,0.706068,35.13,2182543.0
1780135453.734375,48.96,0.700944,35.13,2185211.0
1780135453.75,43.47,0.700944,35.13,2187746.0
1780135453.765625,39.77,0.700944,35.13,2190529.0
1780135453.78125,37.71,0.700944,35.11,2193595.0
1780135453.796875,36.56,0.706068,35.11,2196743.0
1780135453.8125,35.39,0.704787,35.11,2200290.0
1780135453.828125,33.41,0.704787,35.11,2203496.0
1780135453.84375,30.37,0.706068,35.11,2207042.0
1780135453.859375,26.52,0.700944,35.11,2210332.0
1780135453.875,22.41,0.699663,35.11,2213469.0
1780135453.890625,18.45,0.697101,35.11,2216712.0
1780135453.90625,14.72,0.689415,35.09,2218257.0
1780135453.921875,10.81,0.690696,35.09,2219055.0
1780135453.9375,6.08,0.690696,35.09,2220183.0
1780135453.953125,-0.02,0.686853,35.09,2222029.0
1780135453.96875,-7.61,0.680449,35.11,2224051.0
1780135453.984375,-16.28,0.680449,35.11,2226265.0
1780135454.0,-25.22,0.677887,35.11,2229448.0
1780135454.015625,-33.52,0.680449,35.11,2232636.0
1780135454.03125,-40.53,0.685573,35.11,2235268.0
1780135454.046875,-46.15,0.685573,35.11,2237705.0
1780135454.0625,-50.78,0.683011,35.11,2239862.0
1780135454.078125,-55.3,0.680449,35.11,2242459.0
1780135454.09375,-60.73,0.675325,35.11,2244852.0
1780135454.109375,-67.93,0.674044,35.11,2247721.0
1780135454.125,-77.17,0.679168,35.11,2250595.0
1780135454.140625,-87.83,0.677887,35.11,2254085.0
1780135454.15625,-98.1,0.680449,35.09,2257303.0
1780135454.171875,-105.22,0.679168,35.09,2261069.0
1780135454.1875,-106.1,0.680449,35.09,2264376.0
1780135454.203125,-98.31,0.679168,35.09,2268055.0
1780135454.21875,-81.11,0.675325,35.11,2271092.0
1780135454.234375,-55.92,0.676606,35.11,2273814.0
