timestamp,bvp,eda,temp,PPG GREEN
1669796618.734375,54.62,0.490514,31.71,2029828.0
1669796618.75,49.12,0.495636,31.71,2029149.0
1669796618.765625,44.41,0.532777,31.73,2028945.0
1669796618.78125,41.23,0.498198,31.73,2028609.0
1669796618.796875,39.96,0.494356,31.73,2028609.0
1669796618.8125,40.57,0.496917,31.73,2028559.0
1669796618.828125,42.71,0.493075,31.71,2027768.0
1669796618.84375,45.86,0.494356,31.71,2027247.0
1669796618.859375,49.54,0.496917,31.71,2027050.0
1669796618.875,53.4,0.496917,31.71,2027120.0
1669796618.890625,57.19,0.499479,31.71,2027637.0
1669796618.90625,60.74,0.496917,31.71,2028134.0
1669796618.921875,63.86,0.494356,31.71,2028453.0
1669796618.9375,66.25,0.495636,31.71,2029258.0
1669796618.953125,67.54,0.491794,31.71,2029946.0
1669796618.96875,67.28,0.490514,31.71,2030516.0
1669796618.984375,65.18,0.490514,31.71,2031241.0
1669796619.0,61.25,0.493075,31.71,2031961.0
1669796619.015625,55.95,0.490514,31.71,2032730.0
1669796619.03125,50.04,0.490514,31.71,2033642.0
1669796619.046875,44.39,0.494356,31.71,2034788.0
1669796619.0625,39.6,0.494356,31.71,2035677.0
1669796619.078125,35.83,0.495636,31.71,2037047.0
1669796619.09375,32.7,0.495636,31.71,2037887.0
1669796619.109375,29.63,0.498198,31.71,2039192.0
1669796619.125,26.14,0.490514,31.71,2040010.0
1669796619.140625,22.2,0.490514,31.69,2035226.0
1669796619.15625,18.22,0.490514,31.69,2038227.0
1669796619.171875,14.75,0.498198,31.69,2032970.0
1669796619.1875,12.25,0.491794,31.69,2031484.0
1669796619.203125,10.73,0.491794,31.69,2030230.0
1669796619.21875,9.78,0.495636,31.69,2028958.0
1669796619.234375,8.78,0.495636,31.69,2028302.0
1669796619.25,7.2,0.494356,31.69,2027744.0
1669796619.265625,4.79,0.493075,31.69,2027114.0
1669796619.28125,1.74,0.491794,31.69,2026555.0
1669796619.296875,-1.58,0.490514,31.69,2025639.0
1669796619.3125,-4.73,0.490514,31.69,2025717.0
1669796619.328125,-7.5,0.494356,31.67,2025760.0
1669796619.34375,-10.01,0.491794,31.67,2026650.0
1669796619.359375,-12.66,0.493075,31.67,2026754.0
1669796619.375,-15.98,0.494356,31.67,2027358.0
1669796619.390625,-20.34,0.495636,31.67,2027545.0
1669796619.40625,-25.82,0.495636,31.67,2026283.0
1669796619.421875,-32.01,0.494356,31.67,2025758.0
1669796619.4375,-38.18,0.495636,31.67,2028279.0
1669796619.453125,-43.47,0.491794,31.69,2029082.0
1669796619.46875,-47.23,0.490514,31.69,2029757.0
1669796619.484375,-49.28,0.491794,31.69,2030932.0
1669796619.5,-50.08,0.495636,31.69,2031401.0
1669796619.515625,-50.62,0.496917,31.65,2032111.0
1669796619.53125,-52.18,0.496917,31.65,2033335.0
1669796619.546875,-55.92,0.496917,31.65,2034109.0
1669796619.5625,-62.32,0.498198,31.65,2035412.0
1669796619.578125,-70.62,0.495636,31.67,2035956.0
1669796619.59375,-78.5,0.494356,31.67,2034391.0
1669796619.609375,-82.34,0.491794,31.67,2031052.0
1669796619.625,-78.08,0.491794,31.67,2028126.0
1669796619.640625,-62.7,0.491794,31.67,2026544.0
1669796619.65625,-35.44,0.491794,31.67,2025257.0
1669796619.671875,1.43,0.495636,31.67,2023762.0
1669796619.6875,43.05,0.496917,31.67,2022541.0
1669796619.703125,83.38,0.495636,31.67,2023067.0
1669796619.71875,117.05,0.494356,31.67,2021536.0
1669796619.734375,140.83,0.494356,31.67,2020795.0
1669796619.75,154.3,0.495636,31.67,2020051.0
1669796619.765625,159.36,0.493075,31.65,2019458.0
1669796619.78125,159.08,0.493075,31.65,2019938.0
1669796619.796875,156.39,0.493075,31.65,2019624.0
1669796619.8125,153.19,0.491794,31.65,2020336.0
1669796619.828125,150.13,0.495636,31.63,2020319.0
1669796619.84375,146.82,0.493075,31.63,2020707.0
1669796619.859375,142.45,0.496917,31.63,2020949.0
1669796619.875,136.23,0.498198,31.63,2021688.0
1669796619.890625,127.61,0.498198,31.67,2021907.0
1669796619.90625,116.44,0.496917,31.67,2022854.0
1669796619.921875,102.91,0.493075,31.67,2023481.0
1669796619.9375,87.52,0.493075,31.67,2025092.0
1669796619.953125,71.03,0.496917,31.67,2024036.0
1669796619.96875,54.25,0.493075,31.67,2019786.0
1669796619.984375,37.7,0.493075,31.67,2025800.0
1669796620.0,21.29,0.494356,31.67,2026584.0
1669796620.015625,4.09,0.494356,31.63,2027535.0
1669796620.03125,-15.5,0.499479,31.63,2027970.0
1669796620.046875,-39.26,0.498198,31.63,2025813.0
1669796620.0625,-68.28,0.499479,31.63,2023057.0
1669796620.078125,-102.26,0.499479,31.65,2020476.0
1669796620.09375,-139.05,0.499479,31.65,2018755.0
1669796620.109375,-174.9,0.496917,31.65,2017973.0
1669796620.125,-205.18,0.495636,31.65,2017069.0
1669796620.140625,-225.69,0.499479,31.63,2016656.0
1669796620.15625,-233.85,0.495636,31.63,2016017.0
1669796620.171875,-229.48,0.495636,31.63,2015226.0
1669796620.1875,-214.92,0.496917,31.63,2014372.0
1669796620.203125,-194.16,0.499479,31.65,2013920.0
1669796620.21875,-171.63,0.504601,31.65,2013478.0
1669796620.234375,-150.85,0.500759,31.65,2013722.0
1669796620.25,-133.61,0.500759,31.65,2014064.0
1669796620.265625,-119.95,0.504601,31.61,2014103.0
1669796620.28125,-108.7,0.498198,31.61,2014408.0
1669796620.296875,-98.39,0.496917,31.61,2014837.0
1669796620.3125,-87.97,0.499479,31.61,2015167.0
1669796620.328125,-77.09,0.496917,31.63,2015912.0
1669796620.34375,-66.05,0.495636,31.63,2016531.0
1669796620.359375,-55.47,0.498198,31.63,2016838.0
1669796620.375,-45.94,0.50204,31.63,2017848.0
1669796620.390625,-37.84,0.50204,31.63,2018585.0
1669796620.40625,-31.35,0.500759,31.63,2019251.0
1669796620.421875,-26.47,0.500759,31.63,2020286.0
1669796620.4375,-23.11,0.499479,31.63,2021161.0
1669796620.453125,-21.21,0.500759,31.57,2021945.0
1669796620.46875,-20.71,0.496917,31.57,2020068.0
1669796620.484375,-21.56,0.496917,31.57,2016432.0
1669796620.5,-23.71,0.500759,31.57,2013318.0
1669796620.515625,-27.07,0.498198,31.63,2011167.0
1669796620.53125,-31.48,0.498198,31.63,2009930.0
1669796620.546875,-36.74,0.50204,31.63,2008286.0
1669796620.5625,-42.59,0.500759,31.63,2007665.0
1669796620.578125,-48.71,0.50204,31.59,2006674.0
1669796620.59375,-54.78,0.50204,31.59,2005661.0
1669796620.609375,-60.57,0.503321,31.59,2004783.0
1669796620.625,-66.09,0.499479,31.59,2003559.0
1669796620.640625,-71.74,0.498198,31.63,2003431.0
1669796620.65625,-78.34,0.498198,31.63,2003006.0
1669796620.671875,-86.97,0.499479,31.63,2003146.0
1669796620.6875,-98.45,0.500759,31.63,2003063.0
1669796620.703125,-112.73,0.504601,31.61,2003340.0
1669796620.71875,-128.25,0.504601,31.61,2003807.0
1669796620.734375,-141.88,0.504601,31.61,2003825.0
1669796620.75,-149.5,0.503321,31.61,2004498.0
1669796620.765625,-147.26,0.504601,31.61,2004530.0
1669796620.78125,-132.99,0.500759,31.61,2005105.0
1669796620.796875,-107.1,0.503321,31.61,2005570.0
1669796620.8125,-72.66,0.503321,31.61,2006313.0
1669796620.828125,-34.46,0.499479,31.61,2007184.0
1669796620.84375,2.44,0.499479,31.61,2008150.0
1669796620.859375,34.02,0.503321,31.61,2008962.0
1669796620.875,58.12,0.504601,31.61,2010137.0
1669796620.890625,74.39,0.504601,31.61,2010913.0
1669796620.90625,83.78,0.504601,31.61,2009580.0
1669796620.921875,87.93,0.504601,31.61,2005628.0
1669796620.9375,88.61,0.500759,31.61,2001899.0
1669796620.953125,87.45,0.499479,31.61,1999030.0
1669796620.96875,85.78,0.500759,31.61,1996902.0
1669796620.984375,84.52,0.503321,31.61,1995324.0
1669796621.0,84.12,0.499479,31.61,1993893.0
1669796621.015625,84.56,0.500759,31.59,1992966.0
1669796621.03125,85.47,0.503321,31.59,1992107.0
1669796621.046875,86.43,0.503321,31.59,1990881.0
1669796621.0625,87.15,0.504601,31.59,1989586.0
1669796621.078125,87.64,0.503321,31.61,1989054.0
1669796621.09375,88.13,0.50204,31.61,1988612.0
1669796621.109375,88.97,0.50204,31.61,1988210.0
1669796621.125,90.45,0.50204,31.61,1988423.0
1669796621.140625,92.62,0.50204,31.59,1988634.0
1669796621.15625,95.31,0.504601,31.59,1988713.0
1669796621.171875,98.06,0.504601,31.59,1989189.0
1669796621.1875,100.24,0.508444,31.59,1989414.0
1669796621.203125,101.18,0.507163,31.59,1989600.0
1669796621.21875,100.31,0.508444,31.59,1990434.0
1669796621.234375,97.35,0.508444,31.59,1990891.0
1669796621.25,92.4,0.511005,31.59,1991649.0
1669796621.265625,85.91,0.504601,31.61,1992454.0
1669796621.28125,78.65,0.504601,31.61,1993023.0
1669796621.296875,71.37,0.504601,31.61,1994202.0
1669796621.3125,64.7,0.504601,31.61,1995184.0
1669796621.328125,58.91,0.504601,31.59,1996125.0
1669796621.34375,53.88,0.504601,31.59,1996914.0
1669796621.359375,49.26,0.509724,31.59,1995638.0
1669796621.375,44.61,0.509724,31.59,1992255.0
1669796621.390625,39.63,0.509724,31.59,1988468.0
1669796621.40625,34.28,0.509724,31.59,1986010.0
1669796621.421875,28.8,0.509724,31.59,1984447.0
1669796621.4375,23.64,0.505882,31.59,1983369.0
1669796621.453125,19.28,0.507163,31.59,1982585.0
1669796621.46875,16.05,0.504601,31.59,1982202.0
1669796621.484375,13.95,0.504601,31.59,1981106.0
1669796621.5,12.6,0.509724,31.59,1980132.0
1669796621.515625,11.29,0.507163,31.59,1979382.0
1669796621.53125,9.23,0.509724,31.59,1978580.0
1669796621.546875,5.84,0.511005,31.59,1978715.0
1669796621.5625,0.98,0.508444,31.59,1978446.0
1669796621.578125,-4.94,0.509724,31.59,1978832.0
1669796621.59375,-11.2,0.509724,31.59,1979224.0
1669796621.609375,-17.01,0.508444,31.59,1979564.0
1669796621.625,-21.96,0.507163,31.59,1979972.0
1669796621.640625,-26.21,0.511005,31.57,1980403.0
1669796621.65625,-30.43,0.507163,31.57,1980939.0
1669796621.671875,-35.49,0.507163,31.57,1981718.0
1669796621.6875,-42.04,0.512286,31.57,1982278.0
1669796621.703125,-50.16,0.511005,31.57,1983266.0
1669796621.71875,-59.31,0.512286,31.57,1984294.0
1669796621.734375,-68.5,0.513566,31.57,1985429.0
1669796621.75,-76.74,0.518689,31.57,1986446.0
1669796621.765625,-83.42,0.512286,31.57,1987619.0
1669796621.78125,-88.61,0.508444,31.57,1988966.0
1669796621.796875,-93.12,0.508444,31.57,1988878.0
1669796621.8125,-98.22,0.511005,31.57,1985711.0
1669796621.828125,-105.32,0.507163,31.59,1982136.0
